0.142,0.215,0.215,0.228,0.082,0.062
0.139,0.195,0.191,0.261,0.081,0.078
0.133,0.175,0.168,0.294,0.077,0.097
0.124,0.156,0.149,0.324,0.073,0.119
0.112,0.138,0.131,0.351,0.066,0.145
0.098,0.123,0.116,0.374,0.059,0.174
0.083,0.109,0.102,0.391,0.051,0.207
0.069,0.097,0.090,0.400,0.043,0.243
0.054,0.088,0.079,0.403,0.035,0.283
0.041,0.080,0.070,0.398,0.028,0.325
0.030,0.074,0.061,0.385,0.021,0.370
0.021,0.070,0.053,0.364,0.016,0.417
0.013,0.068,0.046,0.338,0.011,0.465
0.008,0.067,0.040,0.306,0.008,0.514
0.004,0.067,0.034,0.270,0.005,0.562
0.002,0.068,0.028,0.231,0.003,0.608
0.001,0.070,0.023,0.192,0.002,0.653
0.000,0.072,0.018,0.154,0.001,0.694
0.000,0.075,0.014,0.118,0.001,0.732
0.000,0.078,0.011,0.086,0.001,0.766
0.000,0.080,0.007,0.058,0.001,0.795
0.000,0.081,0.005,0.035,0.001,0.818
0.000,0.081,0.003,0.019,0.001,0.836
0.001,0.080,0.001,0.007,0.002,0.849
0.003,0.077,0.001,0.002,0.003,0.856
0.006,0.072,0.000,0.000,0.005,0.857
0.010,0.065,0.001,0.003,0.008,0.853
0.017,0.056,0.001,0.009,0.012,0.845
0.025,0.046,0.002,0.017,0.017,0.833
0.036,0.035,0.004,0.026,0.023,0.817
0.048,0.024,0.005,0.036,0.030,0.798
0.062,0.014,0.006,0.045,0.038,0.776
0.076,0.006,0.007,0.053,0.046,0.753
0.091,0.001,0.008,0.059,0.054,0.728
0.104,0.001,0.008,0.064,0.062,0.702
0.117,0.003,0.007,0.067,0.069,0.677
0.127,0.012,0.006,0.069,0.075,0.651
0.135,0.026,0.005,0.069,0.079,0.625
0.139,0.047,0.003,0.068,0.082,0.600
0.140,0.072,0.002,0.066,0.082,0.576
0.137,0.103,0.000,0.064,0.081,0.553
0.131,0.138,0.001,0.062,0.078,0.530
0.122,0.175,0.000,0.061,0.073,0.509
0.110,0.213,0.001,0.059,0.067,0.488
0.097,0.251,0.005,0.059,0.060,0.467
0.083,0.287,0.010,0.059,0.052,0.447
0.068,0.319,0.018,0.061,0.044,0.427
0.054,0.347,0.029,0.064,0.036,0.408
0.041,0.368,0.043,0.068,0.029,0.388
0.030,0.382,0.060,0.074,0.022,0.368
0.021,0.389,0.081,0.082,0.017,0.348
0.013,0.389,0.104,0.092,0.012,0.327
0.008,0.381,0.130,0.104,0.008,0.305
0.004,0.366,0.158,0.119,0.006,0.283
0.002,0.346,0.188,0.135,0.004,0.261
0.001,0.321,0.220,0.154,0.002,0.238
0.000,0.293,0.253,0.174,0.002,0.214
0.000,0.262,0.286,0.195,0.001,0.191
0.000,0.231,0.320,0.216,0.001,0.168
0.000,0.200,0.352,0.237,0.001,0.145
0.000,0.170,0.384,0.257,0.001,0.123
0.000,0.142,0.415,0.274,0.001,0.102
0.001,0.117,0.443,0.289,0.002,0.082
0.003,0.095,0.470,0.299,0.003,0.065
0.006,0.076,0.495,0.303,0.005,0.049
0.010,0.060,0.517,0.303,0.008,0.035
0.016,0.047,0.538,0.296,0.012,0.024
0.025,0.037,0.556,0.283,0.017,0.015
0.035,0.029,0.573,0.265,0.023,0.008
0.047,0.023,0.587,0.242,0.030,0.004
0.060,0.018,0.601,0.214,0.038,0.001
0.074,0.015,0.613,0.184,0.046,0.001
0.089,0.013,0.624,0.152,0.054,0.001
0.103,0.011,0.635,0.120,0.062,0.003
0.115,0.010,0.645,0.089,0.069,0.005
0.125,0.010,0.654,0.061,0.075,0.007
0.133,0.009,0.664,0.038,0.079,0.010
0.137,0.009,0.673,0.019,0.082,0.012
0.138,0.009,0.683,0.007,0.082,0.013
0.135,0.009,0.692,0.001,0.081,0.014
0.129,0.008,0.702,0.001,0.078,0.014
0.120,0.008,0.711,0.007,0.073,0.013
0.109,0.006,0.720,0.018,0.067,0.011
0.096,0.005,0.728,0.034,0.060,0.009
0.082,0.003,0.734,0.053,0.052,0.007
0.067,0.002,0.740,0.073,0.044,0.004
0.054,0.000,0.744,0.095,0.037,0.002
0.041,0.000,0.745,0.116,0.029,0.001
0.030,0.000,0.744,0.135,0.023,0.000
0.021,0.002,0.740,0.151,0.017,0.000
0.013,0.007,0.733,0.164,0.012,0.001
0.008,0.015,0.722,0.174,0.009,0.003
0.004,0.026,0.707,0.180,0.006,0.007
0.002,0.042,0.688,0.182,0.004,0.012
0.001,0.062,0.665,0.181,0.003,0.019
0.000,0.087,0.638,0.176,0.002,0.027
0.000,0.115,0.608,0.170,0.001,0.036
0.000,0.148,0.574,0.162,0.001,0.046
0.000,0.183,0.537,0.152,0.001,0.057
0.000,0.220,0.498,0.142,0.001,0.068
0.000,0.258,0.457,0.133,0.001,0.081
0.001,0.295,0.415,0.123,0.002,0.093
0.003,0.329,0.372,0.115,0.003,0.107
0.006,0.360,0.330,0.108,0.005,0.120
0.010,0.385,0.289,0.102,0.008,0.135
0.016,0.405,0.249,0.097,0.012,0.149
